no,kode,tgl,jam,nama_tr,jenis_tr,tipe_tr,alokasi_tr,nominal,officer,source
37,K0035,2024-12-14,13:08:53,AIR FILTER S4-13780-ER3-1800 ASPIRA,KREDIT,CASH,BEBAN,95000,ADMIN2,PRABU MOTOR
34,K0034,2024-12-14,09:43:55,KEPALA JET SHOWER,KREDIT,CASH,BEBAN,35000,ADMIN,EKO DADI
38,K0038,2024-12-14,13:10:37,BULB LEZEN 9012 12V 55W,KREDIT,CASH,BEBAN,75000,ADMIN2,PRABU MOTOR
39,K0039,2024-12-14,13:11:06,WIPER BLADE H306 BOSCH,KREDIT,CASH,BEBAN,75000,ADMIN2,PRABU MOTOR
40,K0040,2024-12-14,13:43:03,ANTI KARAT WD40 191ML,KREDIT,CASH,BEBAN,60000,ADMIN2,SURYA MOTOR
47,D0047,2024-12-14,17:57:58,"TRANSFER PEMBAYARAN SERVICE [WO-00020 ~ AD1036BZ ~ 2412142046]",DEBET,BANK,-,1516500,ADMIN2,TRANSFER PEMBAYARAN SERVICE
48,D0048,2024-12-14,19:10:35,"LAPORAN OMZET HARIAN (Tgl. 14-12-2024)",DEBET,CASH,-,0,ADMIN,OMZET HARIAN BENGKEL (CASH)
44,K0044,2024-12-14,16:09:30,FREON, VACUM, OIL COMP,KREDIT,CASH,BEBAN,275000,ADMIN2,ANDUK AC - TRANSFER
45,K0045,2024-12-14,16:09:50,MAGNET CLUTCH JK247300-9400 DENSO,KREDIT,CASH,BEBAN,625000,ADMIN2,ANDUK AC - TRANSFER
46,K0046,2024-12-14,16:10:10,SUBLET - JASA SERVICE AC ,KREDIT,CASH,BEBAN,250000,ADMIN2,ANDUK AC - TRANSFER
49,D0049,2024-12-16,15:35:19,"TRANSFER PEMBAYARAN SERVICE [WO-00021 ~ AB1079YA ~ 2411280958]",DEBET,BANK,-,940000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
50,D0050,2024-12-16,15:38:35,"TRANSFER PEMBAYARAN SERVICE [WO-00026 ~ AB1682NP ~ 2412162050]",DEBET,BANK,-,504000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
51,D0051,2024-12-16,15:40:30,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00022 ~ H1461QR ~ 2411280827]",DEBET,BANK,-,255000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
54,D0052,2024-12-16,17:11:31,"LAPORAN OMZET HARIAN (Tgl. 16-12-2024)",DEBET,CASH,-,60000,ADMIN,OMZET HARIAN BENGKEL (CASH)
57,D0057,2024-12-17,14:08:26,"DP SERVICE #WO-00025 (Tgl. 17-12-2024)",DEBET,CASH,-,87000,ADMIN2,DP SERVICE
56,K0056,2024-12-17,09:59:06,"PEMBAYARAN PO SPAREPART [PO-00003 ~ PO-00003/SPR/12/2024], Nota: PAYSPR/PO-00003/12/2024/0003",KREDIT,CASH,PEMBAYARAN PO,588300,ADMIN,PEMBAYARAN PO SPAREPART
58,D0058,2024-12-17,16:04:35,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00029 ~ B2156SIJ ~ 2412172053]",DEBET,BANK,-,1055000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
59,D0059,2024-12-17,16:20:58,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00032 ~ AB1182RF ~ 2411280366]",DEBET,BANK,-,629000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
60,K0060,2024-12-17,16:30:07,PLASTIK PUTIH KECIL BESAR ,KREDIT,CASH,BEBAN,68000,ADMIN2,YOBEL PLASTIK
61,K0061,2024-12-17,16:31:13,BEARING SUPPORT SHOCK X-TRAIL T31,KREDIT,BANK,BEBAN,450000,ADMIN2,LUCKY GARAGE
62,K0062,2024-12-17,16:49:07,BEARING SUPPORT SHOCK X-TRAIL ORIGINAL,KREDIT,CASH,BEBAN,450000,ADMIN2,LUCKY GARAGE - TRANSER
64,K0063,2024-12-17,17:25:56,GOSEND LUCKY GARAGE KE CARSPEED,KREDIT,CASH,BEBAN,17000,ADMIN2,GOJEK
65,K0065,2024-12-18,08:41:02,"PEMBAYARAN PO SPAREPART [PO-00004 ~ PO-00004/SPR/12/2024], Nota: PAYSPR/PO-00004/12/2024/0004",KREDIT,CASH,PEMBAYARAN PO,9866488,ADMIN2,PEMBAYARAN PO SPAREPART
66,K0066,2024-12-18,16:12:20,PERTALITE - KHARISMA ANDI,KREDIT,CASH,BEBAN,10000,ADMIN2,SPBU MLATI
67,K0067,2024-12-18,16:13:03,SABUN COLEK WINGS 5PCS,KREDIT,CASH,BEBAN,10000,ADMIN2,WARUNG MADURA CARSPEED
68,K0068,2024-12-18,16:14:04,BEARING RODA FR ZA-38BWD28DCA98-01LB NSK + PRESS,KREDIT,BANK,BEBAN,800000,ADMIN2,LAKSA BARU - TRANSFER
69,K0069,2024-12-18,16:15:50,BEARING RODA FR ZA-38BWD28DCA98-01LB NSK + PRESS R/L,KREDIT,CASH,BEBAN,800000,ADMIN2,LAKSA BARU - TRANSFER
70,D0070,2024-12-18,20:15:23,"LAPORAN OMZET HARIAN (Tgl. 18-12-2024)",DEBET,CASH,-,0,ADMIN,OMZET HARIAN BENGKEL (CASH)
71,K0071,2024-12-19,09:15:36,"PEMBAYARAN PO SPAREPART [PO-00005 ~ PO-00005/SPR/12/2024], Nota: PAYSPR/PO-00005/12/2024/0005",KREDIT,CASH,PEMBAYARAN PO,2633142,ADMIN2,PEMBAYARAN PO SPAREPART
72,K0072,2024-12-19,10:28:08,CAP S/A, 16401-BZ010 RADIATOR,KREDIT,CASH,BEBAN,85000,ADMIN2,PRABU MOTOR
73,K0073,2024-12-19,17:19:07,KLIP BUMPER,KREDIT,CASH,BEBAN,12000,ADMIN2,NIA AUTOPARTS
74,K0074,2024-12-19,17:19:32,GALON EVITA 2PCS,KREDIT,CASH,BEBAN,24000,ADMIN2,EVITA GALON
75,K0075,2024-12-19,17:20:01,MAINTENANCE 3 AC RUANG,KREDIT,CASH,BEBAN,255000,ADMIN2,BANGUN AC
76,K0076,2024-12-19,17:20:44,BAHAN PEMBANTU : OPERASIONAL,KREDIT,CASH,BEBAN,108876,ADMIN2,PAMELA SATU
78,K0077,2024-12-21,08:12:00,"PEMBAYARAN PO SPAREPART [PO-00008 ~ PO-00008/SPR/12/2024], Nota: PAYSPR/PO-00008/12/2024/0006",KREDIT,CASH,PEMBAYARAN PO,1696700,ADMIN2,PEMBAYARAN PO SPAREPART
79,D0079,2024-12-21,16:52:26,"TRANSFER PEMBAYARAN SERVICE [WO-00044 ~ AD1078WH ~ 2412212067]",DEBET,BANK,-,1226000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
80,D0080,2024-12-21,16:54:34,"TRANSFER PEMBAYARAN SERVICE [WO-00048 ~ AB1456FY ~ 2412212071]",DEBET,BANK,-,105000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
81,D0081,2024-12-21,16:55:16,"TRANSFER PEMBAYARAN SERVICE [WO-00049 ~ AB1267TK ~ 2412212072]",DEBET,BANK,-,120000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
82,K0082,2024-12-21,17:05:27,PAD KIT, DISC BRAKE-FRONT DB1820GCT,KREDIT,CASH,BEBAN,450000,ADMIN2,PRABU MOTOR
83,K0083,2024-12-21,17:05:58,FUSE 15A AMPERE DX 5PCS,KREDIT,CASH,BEBAN,5000,ADMIN2,PRABU MOTOR
84,K0084,2024-12-21,17:06:37,PARKIR MOTOR - PRABU MOTOR,KREDIT,CASH,BEBAN,1000,ADMIN2,PRABU MOTOR
85,D0085,2024-12-21,17:24:27,"TRANSFER PEMBAYARAN SERVICE [WO-00042 ~ AD1129QS ~ 2412212066]",DEBET,BANK,-,300000,ADMIN,TRANSFER PEMBAYARAN SERVICE
86,D0086,2024-12-21,17:30:12,"LAPORAN OMZET HARIAN (Tgl. 21-12-2024)",DEBET,CASH,-,788500,ADMIN,OMZET HARIAN BENGKEL (CASH)
87,K0087,2024-12-22,08:29:22,CLEANING SERVIS,KREDIT,CASH,BEBAN,75000,ADMIN,JASA KEBERSIHAN
88,K0088,2024-12-23,18:07:29,FUSE MINI 10 AMPERE PASIFIC 2PCS,KREDIT,CASH,BEBAN,6000,ADMIN2,ANDI SULISTIANTO
89,K0089,2024-12-23,18:15:45,WHEEL CYLINDER RL GRANMAX,KREDIT,CASH,BEBAN,175000,ADMIN2,NIA AUTOPARTS
