no,kode,tgl,jam,nama_tr,jenis_tr,tipe_tr,alokasi_tr,nominal,officer,source
1,K0001,2024-12-11,16:41:31,CLEANING SERVIS,KREDIT,CASH,BEBAN,250000,ADMIN,ALAT
2,K0002,2024-12-11,11:15:01,KERTAS DAN LAMPU,KREDIT,CASH,BEBAN,100000,ADMIN,ALAT
3,K0003,2024-12-11,12:34:17,"PEMBAYARAN PO SPAREPART [PO-00001 ~ PO-00001/SPR/12/2024], Nota: PAYSPR/PO-00001/12/2024/0000",KREDIT,CASH,PEMBAYARAN PO,5000,ADMIN2,PEMBAYARAN PO SPAREPART
4,D0004,2024-12-11,14:14:08,"TRANSFER PEMBAYARAN SERVICE [WO-00004 ~ AA1168E ~ 2412112014]",DEBET,BANK,-,120000,ADMIN,TRANSFER PEMBAYARAN SERVICE
5,D0005,2024-12-11,16:29:37,"TRANSFER PEMBAYARAN SERVICE [WO-00006 ~ B1664SRN ~ 2412112017]",DEBET,BANK,-,179000,ADMIN,TRANSFER PEMBAYARAN SERVICE
6,D0006,2024-12-11,16:36:52,"LAPORAN OMZET HARIAN (Tgl. 11-12-2024)",DEBET,CASH,-,986000,ADMIN,OMZET HARIAN BENGKEL (CASH)
7,K0007,2024-12-11,17:21:41,SOLASI,KREDIT,CASH,BEBAN,11000,ADMIN,ALAT
8,K0008,2024-12-11,20:03:31,"PEMBAYARAN PO SPAREPART [PO-00002 ~ PO-00002/SPR/12/2024], Nota: PAYSPR/PO-00002/12/2024/0002",KREDIT,CASH,PEMBAYARAN PO,10120000,ADMIN,PEMBAYARAN PO SPAREPART
9,D0009,2024-12-12,13:03:07,"DP SERVICE #WO-00007 (Tgl. 12-12-2024)",DEBET,CASH,-,200000,ADMIN2,DP SERVICE
10,D0010,2024-12-12,13:03:30,"TRANSFER PEMBAYARAN SERVICE [WO-00007 ~ AB1017FS ~ 2412122018]",DEBET,BANK,-,480000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
11,K0011,2024-12-12,16:55:55,AIR GALON,KREDIT,CASH,BEBAN,24000,ADMIN,AQUA
